ISIN, COUPONRATE ,COUPONDATE,MATURITYDATE,ISSUEDATE, ACCRUED , PRICE ,TODAY
AT0000384821, 0.04000 ,1507,15072009,22021999, 2.2295 , 100.4941 ,30012008
AT0000384938, 0.05500 ,1501,15012010,22101999, 0.3005 , 103.5572 ,
AT0000385067, 0.05250 ,0401,04012011,04012001, 0.4447 , 104.4135 ,
AT0000385356, 0.05000 ,1507,15072012,09012002, 2.7869 , 105.0056 ,
AT0000385992, 0.03800 ,2010,20102013,20052003, 1.1109 , 99.8335 ,
AT0000384748, 0.04125 ,1501,15012014,15011999, 0.2254 , 101.2500 ,
AT0000386073, 0.04300 ,1507,15072014,15012004, 2.3967 , 102.3832 ,
AT0000386198, 0.03500 ,1507,15072015,26042005, 1.9508 , 97.0053 ,
AT0000A011T9, 0.04000 ,1509,15092016,21042006, 1.5519 , 99.5164 ,
AT0000A06P24, 0.04300 ,1509,15092017,17092007, 1.6683 , 101.2435 ,
AT0000385745, 0.04650 ,1501,15012018,15012003, 0.2541 , 104.0539 ,
AT0000A08968, 0.04350 ,1503,15032019,08012008, 3.8746 , 101.1500 ,
AT0000386115, 0.03900 ,1507,15072020,14012005, 2.1738 , 96.1395 ,
AT0000A001X2, 0.03500 ,1509,15092021,11012006, 1.3579 , 91.1123 ,
AT0000383864, 0.06250 ,1507,15072027,10071997, 3.4836 , 122.0027 ,
AT0000A04967, 0.04150 ,1503,15032037,12012007, 3.6964 , 92.4369 
