Name,Code,1.11.07,2.11.07,5.11.07,6.11.07,7.11.07,8.11.07,9.11.07,12.11.07,13.11.07,14.11.07,15.11.07,16.11.07,19.11.07,20.11.07,21.11.07,22.11.07,23.11.07,26.11.07,27.11.07,28.11.07,29.11.07,30.11.07,3.12.07,4.12.07,5.12.07,6.12.07,7.12.07,10.12.07,11.12.07,12.12.07,13.12.07,14.12.07,17.12.07,18.12.07,19.12.07,20.12.07,21.12.07,24.12.07,25.12.07,26.12.07,27.12.07,28.12.07,31.12.07,1.1.08,2.1.08,3.1.08,4.1.08,7.1.08,8.1.08,9.1.08,10.1.08,11.1.08,14.1.08,15.1.08,16.1.08,17.1.08,18.1.08,21.1.08,22.1.08,23.1.08,24.1.08,25.1.08,28.1.08,29.1.08,30.1.08,31.1.08,1.2.08
BTAN FRANCE 2005 2 3/4% 12/03/08 - ACCRUED INTEREST,59917J(AC),1.7657,1.7883,1.7958,1.8033,1.8108,1.8183,1.8408,1.8484,1.8559,1.8634,1.8709,1.8934,1.901,1.9085,1.916,1.9235,1.946,1.9536,1.9611,1.9686,1.9761,1.9986,2.0061,2.0137,2.0212,2.0287,2.0512,2.0587,2.0663,2.0738,2.0813,2.1038,2.1113,2.1189,2.1264,2.1339,2.1564,2.1639,2.1714,2.179,2.1865,2.209,2.2165,2.224,2.2316,2.2391,2.2616,2.2691,2.2766,2.2842,2.2917,2.3142,2.3217,2.3292,2.3367,2.3443,2.3668,2.3743,2.3818,2.3893,2.3969,2.4194,2.4269,2.4344,2.4419,2.4495,2.472
OAT FRANCE 1998 5.25% 25/04/08 - ACCRUED INTEREST,613179(AC),2.7971,2.8115,2.8258,2.8402,2.8832,2.8975,2.9119,2.9262,2.9406,2.9836,2.998,3.0123,3.0266,3.041,3.084,3.0984,3.1127,3.127,3.1414,3.1844,3.1988,3.2131,3.2275,3.2418,3.2848,3.2992,3.3135,3.3279,3.3422,3.3852,3.3996,3.4139,3.4283,3.4426,3.4857,3.5,3.5143,3.5287,3.543,3.5861,3.6004,3.6148,3.6291,3.6434,3.6865,3.7008,3.7152,3.7295,3.7439,3.7869,3.8012,3.8156,3.8299,3.8443,3.8873,3.9016,3.916,3.9303,3.9447,3.9877,4.002,4.0164,4.0307,4.0451,4.0881,4.1025,4.1168
BTAN FRANCE 2003 3% 12/07/08 - ACCRUED INTEREST,25048Q(AC),0.9262,0.9508,0.959,0.9672,0.9754,0.9836,1.0082,1.0164,1.0246,1.0328,1.041,1.0656,1.0738,1.082,1.0902,1.0984,1.123,1.1311,1.1393,1.1475,1.1557,1.1803,1.1885,1.1967,1.2049,1.2131,1.2377,1.2459,1.2541,1.2623,1.2705,1.2951,1.3033,1.3115,1.3197,1.3279,1.3525,1.3607,1.3689,1.377,1.3852,1.4098,1.418,1.4262,1.4344,1.4426,1.4672,1.4754,1.4836,1.4918,1.5,1.5246,1.5328,1.541,1.5492,1.5574,1.582,1.5902,1.5984,1.6066,1.6148,1.6393,1.6475,1.6557,1.6639,1.6721,1.6967
BTAN FRANCE 2006 3 1/2% 12/09/08 - ACCRUED INTEREST,78107X(AC),0.4877,0.5164,0.526,0.5355,0.5451,0.5546,0.5833,0.5929,0.6025,0.612,0.6216,0.6503,0.6598,0.6694,0.679,0.6885,0.7172,0.7268,0.7363,0.7459,0.7555,0.7842,0.7937,0.8033,0.8128,0.8224,0.8511,0.8607,0.8702,0.8798,0.8893,0.918,0.9276,0.9372,0.9467,0.9563,0.985,0.9945,1.0041,1.0137,1.0232,1.0519,1.0615,1.071,1.0806,1.0902,1.1189,1.1284,1.138,1.1475,1.1571,1.1858,1.1954,1.2049,1.2145,1.224,1.2527,1.2623,1.2719,1.2814,1.291,1.3197,1.3292,1.3388,1.3484,1.3579,1.3866
OAT FRANCE 1991 8.5% 25/10/08 - ACCRUED INTEREST,388017(AC),0.2787,0.3019,0.3251,0.3484,0.418,0.4413,0.4645,0.4877,0.5109,0.5806,0.6038,0.627,0.6503,0.6735,0.7432,0.7664,0.7896,0.8128,0.8361,0.9057,0.929,0.9522,0.9754,0.9986,1.0683,1.0915,1.1148,1.138,1.1612,1.2309,1.2541,1.2773,1.3005,1.3238,1.3934,1.4167,1.4399,1.4631,1.4863,1.556,1.5792,1.6025,1.6257,1.6489,1.7186,1.7418,1.765,1.7883,1.8115,1.8811,1.9044,1.9276,1.9508,1.974,2.0437,2.0669,2.0902,2.1134,2.1366,2.2063,2.2295,2.2527,2.276,2.2992,2.3689,2.3921,2.4153
BTAN FRANCE 2004 3 1/2% 12/01/09 - ACCRUED INTEREST,38209V(AC),2.8192,2.8479,2.8575,2.8671,2.8767,2.8863,2.9151,2.9247,2.9342,2.9438,2.9534,2.9822,2.9918,3.0014,3.011,3.0205,3.0493,3.0589,3.0685,3.0781,3.0877,3.1164,3.126,3.1356,3.1452,3.1548,3.1836,3.1932,3.2027,3.2123,3.2219,3.2507,3.2603,3.2699,3.2795,3.289,3.3178,3.3274,3.337,3.3466,3.3562,3.3849,3.3945,3.4041,3.4137,3.4233,3.4521,3.4616,3.4712,3.4808,3.4904,0.0191,0.0287,0.0383,0.0478,0.0574,0.0861,0.0956,0.1052,0.1148,0.1243,0.153,0.1626,0.1721,0.1817,0.1913,0.2199
OAT FRANCE 1998 4% 25/04/09 - ACCRUED INTEREST,613801(AC),2.1311,2.1421,2.153,2.1639,2.1967,2.2077,2.2186,2.2295,2.2404,2.2732,2.2842,2.2951,2.306,2.3169,2.3497,2.3607,2.3716,2.3825,2.3934,2.4262,2.4372,2.4481,2.459,2.4699,2.5027,2.5137,2.5246,2.5355,2.5464,2.5792,2.5902,2.6011,2.612,2.623,2.6557,2.6667,2.6776,2.6885,2.6995,2.7322,2.7432,2.7541,2.765,2.776,2.8087,2.8197,2.8306,2.8415,2.8525,2.8852,2.8962,2.9071,2.918,2.929,2.9617,2.9727,2.9836,2.9945,3.0055,3.0383,3.0492,3.0601,3.071,3.082,3.1148,3.1257,3.1366
BTAN FRANCE 2004 3 1/2% 12/07/09 - ACCRUED INTEREST,46101V(AC),1.0806,1.1093,1.1189,1.1284,1.138,1.1475,1.1762,1.1858,1.1954,1.2049,1.2145,1.2432,1.2527,1.2623,1.2719,1.2814,1.3101,1.3197,1.3292,1.3388,1.3484,1.377,1.3866,1.3962,1.4057,1.4153,1.444,1.4536,1.4631,1.4727,1.4822,1.5109,1.5205,1.5301,1.5396,1.5492,1.5779,1.5874,1.597,1.6066,1.6161,1.6448,1.6544,1.6639,1.6735,1.6831,1.7117,1.7213,1.7309,1.7404,1.75,1.7787,1.7883,1.7978,1.8074,1.8169,1.8456,1.8552,1.8648,1.8743,1.8839,1.9126,1.9221,1.9317,1.9413,1.9508,1.9795
BTAN FRANCE 2007 4% 12/09/09 - ACCRUED INTEREST,93496F(AC),0.5574,0.5902,0.6011,0.612,0.623,0.6339,0.6667,0.6776,0.6885,0.6995,0.7104,0.7432,0.7541,0.765,0.776,0.7869,0.8197,0.8306,0.8415,0.8525,0.8634,0.8962,0.9071,0.918,0.929,0.9399,0.9727,0.9836,0.9945,1.0055,1.0164,1.0492,1.0601,1.071,1.082,1.0929,1.1257,1.1366,1.1475,1.1585,1.1694,1.2022,1.2131,1.224,1.235,1.2459,1.2787,1.2896,1.3005,1.3115,1.3224,1.3552,1.3661,1.377,1.388,1.3989,1.4317,1.4426,1.4536,1.4645,1.4754,1.5082,1.5191,1.5301,1.541,1.5519,1.5847
OAT FRANCE 1999 4% 25/10/09 - ACCRUED INTEREST,619266(AC),0.1311,0.1421,0.153,0.1639,0.1967,0.2077,0.2186,0.2295,0.2404,0.2732,0.2842,0.2951,0.306,0.3169,0.3497,0.3607,0.3716,0.3825,0.3934,0.4262,0.4372,0.4481,0.459,0.4699,0.5027,0.5137,0.5246,0.5355,0.5464,0.5792,0.5902,0.6011,0.612,0.623,0.6557,0.6667,0.6776,0.6885,0.6995,0.7322,0.7432,0.7541,0.765,0.776,0.8087,0.8197,0.8306,0.8415,0.8525,0.8852,0.8962,0.9071,0.918,0.929,0.9617,0.9727,0.9836,0.9945,1.0055,1.0383,1.0492,1.0601,1.071,1.082,1.1148,1.1257,1.1366
