Name,Code,1.11.07,2.11.07,5.11.07,6.11.07,7.11.07,8.11.07,9.11.07,12.11.07,13.11.07,14.11.07,15.11.07,16.11.07,19.11.07,20.11.07,21.11.07,22.11.07,23.11.07,26.11.07,27.11.07,28.11.07,29.11.07,30.11.07,3.12.07,4.12.07,5.12.07,6.12.07,7.12.07,10.12.07,11.12.07,12.12.07,13.12.07,14.12.07,17.12.07,18.12.07,19.12.07,20.12.07,21.12.07,24.12.07,25.12.07,26.12.07,27.12.07,28.12.07,31.12.07,1.1.08,2.1.08,3.1.08,4.1.08,7.1.08,8.1.08,9.1.08,10.1.08,11.1.08,14.1.08,15.1.08,16.1.08,17.1.08,18.1.08,21.1.08,22.1.08,23.1.08,24.1.08,25.1.08,28.1.08,29.1.08,30.1.08,31.1.08,1.2.08
BTAN FRANCE 2005 2 3/4% 12/03/08 - CLEAN PRICE,59917J(CP),99.51,99.51,99.52,99.54,99.54,99.54,99.56,99.56,99.58,99.57,99.56,99.58,99.6,99.6,99.6,99.62,99.62,99.62,99.63,99.64,99.66,99.66,99.64,99.64,99.65,99.66,99.66,99.67,99.66,99.69,99.69,99.69,99.7,99.72,99.71,99.74,99.74,99.75,99.75,99.75,99.76,99.75,99.76,99.76,99.77,99.78,99.77,99.78,99.77,99.79,99.79,99.8,99.8,99.81,99.82,99.81,99.82,99.82,99.83,99.84,99.85,99.86,99.86,99.86,99.87,99.87,99.87
OAT FRANCE 1998 5.25% 25/04/08 - CLEAN PRICE,613179(CP),100.43,100.45,100.44,100.44,100.44,100.44,100.44,100.44,100.42,100.41,100.45,100.42,100.46,100.41,100.41,100.4,100.4,100.5,100.4,100.39,100.39,100.34,100.38,100.38,100.37,100.37,100.4,100.34,100.34,100.39,100.38,100.34,100.34,100.34,100.34,100.38,100.38,100.28,100.28,100.28,100.29,100.28,100.3,100.3,100.35,100.29,100.28,100.32,100.28,100.26,100.25,100.25,100.29,100.26,100.25,100.27,100.27,100.26,100.28,100.27,100.26,100.24,100.23,100.23,100.21,100.23,100.21
BTAN FRANCE 2003 3% 12/07/08 - CLEAN PRICE,25048Q(CP),99.19,99.23,99.23,99.23,99.27,99.27,99.27,99.29,99.29,99.26,99.27,99.3,99.31,99.32,99.34,99.34,99.35,99.35,99.34,99.34,99.38,99.4,99.37,99.36,99.36,99.35,99.35,99.33,99.34,99.33,99.34,99.34,99.36,99.36,99.33,99.37,99.35,99.37,99.37,99.37,99.37,99.39,99.43,99.43,99.48,99.45,99.44,99.44,99.43,99.44,99.45,99.46,99.48,99.49,99.54,99.51,99.52,99.53,99.59,99.57,99.55,99.54,99.55,99.55,99.57,99.58,99.6
BTAN FRANCE 2006 3 1/2% 12/09/08 - CLEAN PRICE,78107X(CP),99.44,99.46,99.5,99.48,99.5,99.5,99.51,99.52,99.54,99.56,99.51,99.53,99.55,99.58,99.58,99.6,99.58,99.58,99.64,99.65,99.62,99.61,99.61,99.65,99.62,99.62,99.59,99.55,99.55,99.55,99.54,99.52,99.53,99.56,99.56,99.59,99.56,99.56,99.56,99.56,99.55,99.58,99.62,99.62,99.62,99.62,99.67,99.66,99.62,99.63,99.62,99.63,99.67,99.7,99.7,99.72,99.77,99.8,99.82,99.85,99.8,99.75,99.77,99.79,99.78,99.84,99.81
OAT FRANCE 1991 8.5% 25/10/08 - CLEAN PRICE,388017(CP),104.04,104.04,104.1,104.04,103.99,104.01,104.08,104,103.99,103.94,103.96,103.93,103.98,103.92,103.93,103.96,103.94,103.9,103.92,103.85,103.85,103.82,103.77,103.77,103.77,103.75,103.7,103.64,103.59,103.62,103.58,103.54,103.5,103.54,103.46,103.51,103.5,103.52,103.52,103.52,103.39,103.34,103.34,103.34,103.42,103.37,103.4,103.31,103.32,103.27,103.27,103.27,103.27,103.28,103.32,103.29,103.28,103.34,103.37,103.42,103.31,103.26,103.26,103.21,103.17,103.22,103.19
BTAN FRANCE 2004 3 1/2% 12/01/09 - CLEAN PRICE,38209V(CP),99.2896,99.3205,99.329,99.319,99.3539,99.4051,99.4538,99.4473,99.4388,99.4166,99.4263,99.4387,99.4869,99.4865,99.546,99.5576,99.5534,99.5592,99.5581,99.5225,99.5546,99.5243,99.5306,99.5457,99.5388,99.4937,99.4145,99.3644,99.3741,99.3447,99.3393,99.3203,99.3581,99.3724,99.3839,99.4192,99.3988,99.3988,99.3988,99.3988,99.3892,99.4155,99.4431,99.4431,99.4811,99.5078,99.5329,99.5224,99.4999,99.525,99.5145,99.5257,99.5894,99.6141,99.6682,99.6651,99.6936,99.8,99.8482,99.9506,99.7917,99.7833,99.7702,99.7435,99.7597,99.8273,99.8273
OAT FRANCE 1998 4% 25/04/09 - CLEAN PRICE,613801(CP),99.8463,99.8886,99.9007,99.8825,99.935,99.9846,100.0576,100.0315,100.0113,99.9671,100.0111,100.0581,100.11,100.0866,100.1949,100.2014,100.1706,100.1881,100.1743,100.1317,100.1773,100.1079,100.1259,100.1439,100.1319,100.0849,99.945,99.8656,99.8728,99.841,99.8477,99.8152,99.8442,99.8555,99.8568,99.8814,99.8394,99.8394,99.8394,99.8394,99.8261,99.8736,99.8951,99.8951,99.9794,100.0175,100.0616,100.0568,100.0184,100.0798,100.0634,100.0771,100.1433,100.1782,100.2637,100.2784,100.3215,100.44,100.4764,100.5966,100.3803,100.3808,100.3675,100.338,100.3658,100.4692,100.4575
BTAN FRANCE 2004 3 1/2% 12/07/09 - CLEAN PRICE,46101V(CP),99.0545,99.1314,99.1349,99.1113,99.1726,99.2338,99.3198,99.3003,99.2594,99.2053,99.2775,99.3535,99.4642,99.3808,99.4998,99.5062,99.4983,99.5154,99.4906,99.4016,99.4679,99.358,99.4262,99.457,99.4355,99.3571,99.1963,99.1256,99.1618,99.0732,99.0874,99.0397,99.0453,99.077,99.1209,99.1534,99.0956,99.0956,99.0956,99.0956,99.0487,99.1465,99.1718,99.1718,99.2946,99.3379,99.3965,99.3838,99.3148,99.4037,99.4004,99.418,99.5087,99.5479,99.6335,99.6954,99.7493,99.893,99.8904,100.0739,99.8149,99.8255,99.8166,99.7634,99.7696,99.9164,99.9122
BTAN FRANCE 2007 4% 12/09/09 - CLEAN PRICE,93496F(CP),99.8808,99.9585,99.9637,99.9417,100.0117,100.0833,100.1745,100.1448,100.102,100.0366,100.1194,100.1904,100.3237,100.236,100.3872,100.4131,100.3535,100.373,100.3275,100.2201,100.3124,100.1727,100.255,100.2879,100.2667,100.1934,99.9905,99.8882,99.9451,99.819,99.8506,99.7913,99.8028,99.8255,99.8532,99.888,99.8152,99.8152,99.8152,99.8152,99.7584,99.8303,99.8256,99.8256,100.0652,100.1179,100.1954,100.1684,100.0844,100.2121,100.1829,100.2195,100.2941,100.3655,100.4819,100.5321,100.6028,100.7633,100.6922,100.9718,100.6048,100.6315,100.643,100.5749,100.5763,100.7542,100.7473
OAT FRANCE 1999 4% 25/10/09 - CLEAN PRICE,619266(CP),99.9191,99.9986,100.0063,99.9652,100.0423,100.1136,100.2194,100.1882,100.1239,100.0585,100.151,100.2511,100.4038,100.3055,100.4299,100.4747,100.4126,100.4314,100.3879,100.2892,100.3727,100.2294,100.3216,100.3591,100.3444,100.2678,100.0526,99.9358,99.9979,99.8457,99.8767,99.815,99.8321,99.8397,99.8675,99.9022,99.8166,99.8166,99.8166,99.8166,99.7571,99.8408,99.8356,99.8356,100.0957,100.1478,100.2429,100.2203,100.13,100.2747,100.2401,100.2676,100.3474,100.432,100.5617,100.6325,100.709,100.895,100.8176,101.0978,100.6981,100.7359,100.7591,100.678,100.6806,100.863,100.8363
