Date;M1Y;M2Y;M3Y;M4Y;M5Y;M6Y;M7Y;M8Y;M9Y;M10Y;M11Y;M12Y
01.01.2004;2.304;2.7751;3.1589;3.4725;3.7226;3.9331;4.1173;4.2737;4.4026;4.5087;4.6019;4.6882
08.01.2004;2.2542;2.6667;3.0529;3.3688;3.6186;3.84;4.0324;4.1943;4.3289;4.4408;4.54;4.6325
15.01.2004;2.2249;2.6113;2.9793;3.2924;3.5476;3.7687;3.9608;4.1254;4.2628;4.3776;4.4831;4.5752
22.01.2004;2.175;2.5588;2.9292;3.25;3.5104;3.7369;3.9345;4.1048;4.2449;4.3626;4.4678;4.5631
29.01.2004;2.2887;2.7093;3.0905;3.4119;3.67;3.8943;4.0896;4.2547;4.3923;4.5107;4.6132;4.7057
05.02.2004;2.2109;2.6014;2.9822;3.3059;3.5691;3.7986;3.9992;4.1697;4.31;4.431;4.5364;4.6318
12.02.2004;2.1632;2.5159;2.8862;3.2149;3.4832;3.7179;3.9239;4.0999;4.249;4.3727;4.4809;4.5793
19.02.2004;2.174;2.5284;2.8858;3.2146;3.4857;3.726;3.9377;4.1166;4.2687;4.3956;4.507;4.6086
26.02.2004;2.1184;2.449;2.808;3.1391;3.42;3.6653;3.8822;4.0652;4.2213;4.3539;4.468;4.5683
04.03.2004;2.1697;2.5067;2.8581;3.1788;3.449;3.6863;3.8977;4.075;4.2253;4.3487;4.4567;4.5538
11.03.2004;2.0958;2.3662;2.6848;2.9926;3.2623;3.4989;3.7114;3.8927;4.0478;4.1773;4.2904;4.3876
18.03.2004;2.0414;2.3111;2.6399;2.9562;3.2287;3.4684;3.6829;3.8675;4.0236;4.1542;4.2671;4.3707
25.03.2004;1.9564;2.2381;2.5646;2.8815;3.1589;3.4091;3.6357;3.8292;3.9933;4.1322;4.2495;4.3579
01.04.2004;2.0717;2.3766;2.7148;3.0278;3.2975;3.5386;3.7535;3.9396;4.0972;4.2318;4.3488;4.4512
08.04.2004;2.1312;2.4694;2.824;3.1416;3.4138;3.6508;3.8661;4.0502;4.2047;4.3336;4.4458;4.5447
15.04.2004;2.2242;2.6151;2.9733;3.2911;3.5596;3.7883;3.9928;4.1658;4.3148;4.4392;4.5444;4.6386
22.04.2004;2.2147;2.601;2.9613;3.278;3.5475;3.7806;3.985;4.1615;4.3117;4.436;4.5398;4.6327
29.04.2004;2.2613;2.6613;3.0269;3.3353;3.5963;3.823;4.022;4.194;4.3396;4.4604;4.5645;4.6549
06.05.2004;2.3022;2.7064;3.0691;3.3797;3.643;3.8699;4.0702;4.2412;4.3882;4.5117;4.6159;4.7092
13.05.2004;2.3865;2.8485;3.2238;3.5379;3.7974;4.0136;4.2018;4.3639;4.503;4.6184;4.7154;4.804
20.05.2004;2.3652;2.8203;3.2008;3.5148;3.7742;3.9925;4.183;4.3473;4.4863;4.6015;4.7011;4.7896
27.05.2004;2.3705;2.8192;3.2028;3.5148;3.773;3.9925;4.1829;4.3448;4.4839;4.5993;4.7015;4.7871
03.06.2004;2.3864;2.8404;3.2178;3.5329;3.7923;4.0097;4.1967;4.3576;4.4942;4.6096;4.708;4.7938
10.06.2004;2.396;2.8575;3.2359;3.5491;3.8064;4.0237;4.212;4.3705;4.506;4.6203;4.7187;4.8032
17.06.2004;2.4944;2.9944;3.3627;3.6484;3.8801;4.0756;4.246;4.3886;4.5088;4.6098;4.6986;4.7758
24.06.2004;2.4195;2.8643;3.2231;3.5139;3.7517;3.9547;4.1339;4.2842;4.4124;4.5205;4.6139;4.6945
01.07.2004;2.4103;2.8675;3.247;3.5473;3.7895;3.9935;4.1681;4.3185;4.4456;4.5524;4.6433;4.7254
08.07.2004;2.3547;2.7687;3.1284;3.4243;3.6694;3.8798;4.0632;4.218;4.3494;4.4609;4.5552;4.6408
15.07.2004;2.3882;2.8129;3.1727;3.4645;3.7054;3.9093;4.0882;4.2408;4.3701;4.4792;4.5737;4.6582
22.07.2004;2.3942;2.8087;3.1675;3.4593;3.7002;3.9052;4.0865;4.2367;4.3659;4.4737;4.567;4.6488
29.07.2004;2.4305;2.8723;3.2239;3.5083;3.743;3.9426;4.1195;4.2664;4.391;4.4953;4.5862;4.6656
05.08.2004;2.3448;2.7332;3.0815;3.3637;3.5979;3.8015;3.9814;4.1325;4.2615;4.369;4.4607;4.5423
12.08.2004;2.3066;2.6678;2.9994;3.2783;3.5134;3.7224;3.9042;4.0575;4.1885;4.2996;4.3948;4.4788
19.08.2004;2.3026;2.6536;2.9821;3.2642;3.5036;3.7136;3.8988;4.0555;4.1889;4.3011;4.3976;4.4814
26.08.2004;2.3199;2.6737;3.0002;3.277;3.5131;3.7194;3.9011;4.0555;4.1877;4.2987;4.395;4.4799
02.09.2004;2.3488;2.6916;3.0119;3.2856;3.5187;3.7234;3.9042;4.0598;4.1922;4.3045;4.4011;4.4851
09.09.2004;2.4054;2.773;3.0728;3.3235;3.5395;3.7312;3.9054;4.0544;4.1798;4.285;4.3767;4.4558
16.09.2004;2.426;2.786;3.0796;3.3271;3.54;3.7295;3.8981;4.0448;4.1691;4.2731;4.3649;4.4466
23.09.2004;2.3779;2.6932;2.9681;3.2072;3.4177;3.608;3.7786;3.9261;4.0524;4.1573;4.2475;4.3289
30.09.2004;2.4059;2.7212;2.9993;3.2427;3.4565;3.648;3.8221;3.9732;4.1008;4.2082;4.301;4.3825
07.10.2004;2.4126;2.7414;3.0278;3.2722;3.4872;3.682;3.8562;4.0062;4.1339;4.2414;4.3317;4.4119
14.10.2004;2.3235;2.5965;2.8672;3.1167;3.3366;3.5355;3.7147;3.8689;4.0008;4.1114;4.2063;4.2899
21.10.2004;2.3015;2.5593;2.8227;3.0722;3.2974;3.5005;3.6841;3.8427;3.9781;4.091;4.1882;4.2743
28.10.2004;2.3381;2.5933;2.8651;3.1136;3.3346;3.5334;3.7115;3.8668;3.9999;4.113;4.2092;4.2927
04.11.2004;2.331;2.565;2.8213;3.0561;3.2717;3.4704;3.6507;3.8082;3.9423;4.0565;4.1524;4.2398
11.11.2004;2.3423;2.5587;2.8017;3.0324;3.2447;3.4412;3.6214;3.7789;3.9154;4.0307;4.1266;4.2139
18.11.2004;2.391;2.6189;2.8537;3.0772;3.28;3.4657;3.6326;3.7799;3.9107;4.0214;4.1163;4.2
25.11.2004;2.3035;2.5035;2.7392;2.9603;3.1671;3.3557;3.5278;3.6805;3.8132;3.9248;4.0204;4.1037
02.12.2004;2.3388;2.5638;2.8047;3.0333;3.2414;3.4268;3.5969;3.7487;3.8781;3.9874;4.0808;4.1617
09.12.2004;2.28;2.4561;2.664;2.8663;3.057;3.2367;3.4007;3.5428;3.6718;3.7819;3.8762;3.958
16.12.2004;2.3082;2.4943;2.7063;2.895;3.0676;3.2267;3.3753;3.505;3.6188;3.7172;3.8031;3.8788
23.12.2004;2.3479;2.5658;2.7592;2.9323;3.0912;3.244;3.3962;3.5307;3.647;3.7455;3.8302;3.9048
30.12.2004;2.3679;2.6182;2.8344;3.0179;3.1832;3.3383;3.4862;3.6197;3.7328;3.8302;3.9152;3.9913
06.01.2005;2.344;2.5891;2.7929;2.9701;3.129;3.2829;3.4307;3.5641;3.6782;3.7768;3.8629;3.9376
13.01.2005;2.3099;2.5297;2.7273;2.9014;3.0612;3.2139;3.3604;3.4936;3.6099;3.7107;3.7953;3.8711
20.01.2005;2.3405;2.578;2.7828;2.9569;3.1136;3.2588;3.3942;3.5174;3.6269;3.7219;3.8019;3.8716
27.01.2005;2.336;2.5903;2.8012;2.9783;3.1358;3.2807;3.4138;3.5346;3.6417;3.7354;3.8141;3.8811
03.02.2005;2.3372;2.5902;2.7991;2.9721;3.1267;3.2653;3.3952;3.5127;3.6153;3.7032;3.7772;3.8395
10.02.2005;2.3059;2.542;2.7343;2.8948;3.0376;3.1696;3.2928;3.4034;3.5035;3.5913;3.6628;3.7225
17.02.2005;2.334;2.6045;2.8195;2.9935;3.146;3.2846;3.4146;3.5344;3.637;3.7249;3.8002;3.8625
24.02.2005;2.362;2.6538;2.8868;3.0824;3.252;3.4059;3.5468;3.6728;3.7837;3.879;3.9592;4.0274
03.03.2005;2.3474;2.6439;2.883;3.089;3.2672;3.4266;3.572;3.7024;3.8168;3.9156;3.9973;4.0693
10.03.2005;2.3328;2.6187;2.8579;3.0754;3.2653;3.4334;3.5842;3.7203;3.8393;3.9404;4.0257;4.0989
17.03.2005;2.3549;2.6468;2.8705;3.0535;3.2178;3.3674;3.5073;3.6343;3.7451;3.8403;3.9208;3.9929
24.03.2005;2.4131;2.7282;2.9492;3.1255;3.2804;3.4247;3.5547;3.6728;3.7793;3.8723;3.9517;4.0215
31.03.2005;2.3603;2.6336;2.8388;3.0133;3.1702;3.3176;3.453;3.5777;3.6885;3.7836;3.8641;3.9348
07.04.2005;2.3131;2.554;2.748;2.9267;3.0855;3.2371;3.3756;3.5057;3.6209;3.7206;3.8057;3.8825
14.04.2005;2.2936;2.531;2.7342;2.9138;3.0758;3.2263;3.3669;3.4958;3.611;3.7094;3.7945;3.8713
21.04.2005;2.2635;2.4847;2.69;2.8727;3.0389;3.1947;3.3419;3.474;3.5926;3.6968;3.7842;3.8607
28.04.2005;2.2097;2.4023;2.5953;2.7737;2.9354;3.0899;3.2347;3.3677;3.4871;3.591;3.6769;3.7544
05.05.2005;2.192;2.3762;2.562;2.7487;2.9179;3.0788;3.2323;3.372;3.4936;3.5998;3.6892;3.7692
12.05.2005;2.2062;2.3892;2.5719;2.7472;2.9079;3.0569;3.1938;3.3188;3.4335;3.5339;3.6197;3.6948
19.05.2005;2.216;2.4053;2.588;2.757;2.9113;3.056;3.1886;3.3114;3.4215;3.5184;3.6019;3.6745
26.05.2005;2.1892;2.3408;2.5143;2.6854;2.847;3.0005;3.1439;3.2731;3.3887;3.4912;3.578;3.6553
02.06.2005;2.1363;2.2543;2.4207;2.5928;2.7553;2.905;3.0427;3.1695;3.2837;3.3848;3.4715;3.5486
09.06.2005;2.1034;2.1829;2.3371;2.5017;2.6556;2.8019;2.9373;3.0616;3.1744;3.2729;3.3569;3.4314
16.06.2005;2.1525;2.3047;2.4854;2.6627;2.8232;2.973;3.1142;3.2446;3.3602;3.4614;3.5483;3.6256
23.06.2005;2.0717;2.168;2.3365;2.5115;2.6727;2.8233;2.963;3.0918;3.2081;3.3089;3.3953;3.4734
30.06.2005;2.077;2.1599;2.3243;2.492;2.6501;2.7996;2.9382;3.0658;3.182;3.2839;3.3728;3.4521
07.07.2005;2.1416;2.2644;2.4195;2.577;2.7279;2.8723;3.0089;3.1335;3.2477;3.3499;3.4366;3.5137
14.07.2005;2.2293;2.3605;2.5198;2.6785;2.8296;2.9721;3.1079;3.235;3.3484;3.4498;3.5368;3.6154
21.07.2005;2.212;2.3567;2.5138;2.6788;2.8341;2.9787;3.1134;3.2394;3.3539;3.4553;3.541;3.6184
28.07.2005;2.2191;2.3617;2.5106;2.6599;2.8015;2.9386;3.0667;3.1882;3.2981;3.3959;3.4817;3.5566
04.08.2005;2.2643;2.4391;2.6024;2.758;2.9039;3.0401;3.1706;3.2912;3.4014;3.4983;3.5831;3.657
11.08.2005;2.2798;2.4602;2.6183;2.7729;2.9168;3.0508;3.1769;3.2942;3.401;3.4956;3.5781;3.6509
18.08.2005;2.2077;2.3294;2.4753;2.6257;2.7672;2.9031;3.0322;3.1536;3.2623;3.3576;3.4409;3.5157
25.08.2005;2.2143;2.3384;2.469;2.6048;2.7351;2.8623;2.9847;3.1016;3.2067;3.2996;3.3825;3.456
01.09.2005;2.1849;2.2902;2.4116;2.5359;2.6594;2.7824;2.9015;3.0172;3.1257;3.2209;3.3028;3.3762
08.09.2005;2.1931;2.2962;2.4155;2.5419;2.6665;2.7884;2.9065;3.0199;3.1261;3.2213;3.3045;3.3779
15.09.2005;2.247;2.3826;2.5008;2.6231;2.7383;2.8518;2.9646;3.0727;3.1746;3.2666;3.3476;3.4226
22.09.2005;2.222;2.3383;2.4515;2.5644;2.6754;2.7845;2.8929;3.002;3.1014;3.1921;3.2718;3.3441
29.09.2005;2.3553;2.5231;2.6453;2.7563;2.8569;2.9545;3.0501;3.1452;3.2361;3.318;3.3924;3.4592
06.10.2005;2.3963;2.5814;2.7045;2.8062;2.8994;2.9918;3.0809;3.1706;3.2571;3.3369;3.409;3.4736
13.10.2005;2.4243;2.6327;2.7681;2.8823;2.984;3.0818;3.1775;3.2718;3.3619;3.443;3.5139;3.5786
20.10.2005;2.4615;2.6606;2.7889;2.8989;2.9997;3.0964;3.1867;3.2743;3.3622;3.4422;3.5121;3.5757
27.10.2005;2.5736;2.7808;2.9132;3.0297;3.1345;3.23;3.3248;3.4159;3.5016;3.5794;3.6472;3.7073
03.11.2005;2.6299;2.8531;2.9957;3.1196;3.2269;3.3206;3.4045;3.4868;3.566;3.6383;3.7027;3.7607
10.11.2005;2.6987;2.9263;3.0668;3.1866;3.2876;3.3815;3.4644;3.5435;3.6205;3.6883;3.748;3.805
17.11.2005;2.6979;2.8786;3.0038;3.1027;3.1975;3.2882;3.3734;3.4558;3.5327;3.6016;3.6636;3.7204
24.11.2005;2.7387;2.8841;2.9826;3.0797;3.1682;3.2535;3.3355;3.4158;3.4904;3.5581;3.619;3.6771
01.12.2005;2.7581;2.9021;3.0027;3.0955;3.1788;3.2598;3.3408;3.42;3.4947;3.5637;3.6258;3.684
08.12.2005;2.7569;2.898;2.9997;3.082;3.16;3.2368;3.3123;3.3881;3.4618;3.5284;3.5894;3.6463
15.12.2005;2.8275;2.9985;3.0836;3.1545;3.2198;3.2827;3.3452;3.4101;3.4749;3.536;3.5938;3.6474
22.12.2005;2.8728;3.0497;3.1357;3.2035;3.2603;3.3157;3.365;3.4143;3.469;3.5223;3.5719;3.6222
29.12.2005;2.8736;3.0476;3.1295;3.1921;3.2447;3.2947;3.343;3.3924;3.4449;3.4957;3.5454;3.5933
05.01.2006;2.7864;2.9311;3.007;3.0748;3.1359;3.1977;3.2591;3.3228;3.384;3.4415;3.4943;3.5441
12.01.2006;2.8446;3.0125;3.0841;3.1415;3.192;3.2399;3.2894;3.341;3.3911;3.4395;3.4868;3.5309
19.01.2006;2.8683;3.0477;3.1378;3.2045;3.2592;3.3103;3.3619;3.4146;3.467;3.5131;3.564;3.6081
26.01.2006;2.897;3.1113;3.2219;3.3116;3.3864;3.4518;3.5129;3.5733;3.63;3.6843;3.7337;3.7827
02.02.2006;2.9308;3.1463;3.2621;3.3486;3.4181;3.4788;3.5368;3.5963;3.651;3.7018;3.7479;3.7909
09.02.2006;2.918;3.1099;3.2175;3.3074;3.3811;3.4439;3.5041;3.5635;3.6192;3.6712;3.7171;3.7613
16.02.2006;2.9304;3.1301;3.247;3.3377;3.4136;3.4808;3.5421;3.6037;3.6594;3.7125;3.7609;3.8063
23.02.2006;2.9768;3.1761;3.2796;3.3578;3.4231;3.4796;3.5322;3.585;3.6375;3.6873;3.7336;3.7779
02.03.2006;3.0591;3.274;3.385;3.4643;3.5254;3.5792;3.6313;3.682;3.7312;3.7766;3.8192;3.8589
09.03.2006;3.1002;3.3302;3.4505;3.5382;3.6046;3.6605;3.7137;3.7644;3.8136;3.8579;3.9018;3.9416
16.03.2006;3.138;3.3713;3.4895;3.5678;3.6268;3.6773;3.7251;3.7725;3.8208;3.8652;3.9068;3.9455
23.03.2006;3.1752;3.4021;3.5101;3.5874;3.6465;3.6971;3.7483;3.7992;3.8474;3.8907;3.9311;3.9698
30.03.2006;3.2674;3.5033;3.6258;3.7074;3.7686;3.8202;3.8714;3.9213;3.9673;4.0095;4.0501;4.0877
06.04.2006;3.2343;3.51;3.6552;3.7608;3.8433;3.911;3.9765;4.0386;4.0973;4.1511;4.2011;4.2459
13.04.2006;3.2374;3.5343;3.7044;3.8195;3.9071;3.9802;4.0479;4.1098;4.1684;4.221;4.2686;4.3135
20.04.2006;3.2286;3.509;3.6719;3.7827;3.8694;3.947;4.0157;4.0812;4.1432;4.1981;4.2468;4.2902
27.04.2006;3.316;3.5909;3.7425;3.8451;3.9233;3.9933;4.0555;4.1167;4.1707;4.2199;4.2639;4.3038
04.05.2006;3.3527;3.632;3.7836;3.8957;3.9815;4.0482;4.1126;4.1714;4.2255;4.2735;4.3163;4.3538
11.05.2006;3.3894;3.6629;3.8188;3.9298;4.0157;4.0868;4.1513;4.2124;4.2677;4.3156;4.3585;4.3986
18.05.2006;3.3256;3.544;3.6937;3.8027;3.8983;3.9848;4.0672;4.1418;4.2085;4.2681;4.3216;4.3726
25.05.2006;3.2974;3.4956;3.6153;3.7064;3.787;3.8603;3.9336;4.0048;4.069;4.1262;4.181;4.2293
01.06.2006;3.3961;3.6261;3.7541;3.8453;3.9227;3.9919;4.0589;4.1247;4.1859;4.2411;4.2926;4.3427
08.06.2006;3.3763;3.5807;3.7004;3.7927;3.8713;3.9416;4.0062;4.0674;4.1262;4.1802;4.2291;4.2753
15.06.2006;3.3907;3.6038;3.7339;3.8283;3.9057;3.9738;4.0362;4.0974;4.1551;4.2079;4.2582;4.3045
22.06.2006;3.4741;3.7123;3.8434;3.9421;4.0206;4.0854;4.1479;4.2093;4.2648;4.3153;4.3621;4.4061
29.06.2006;3.5381;3.7742;3.894;3.9811;4.0491;4.1096;4.1656;4.2202;4.2736;4.3208;4.3666;4.4096
06.07.2006;3.6008;3.8433;3.9684;4.0512;4.1171;4.1732;4.2259;4.2749;4.3226;4.3663;4.4087;4.4494
13.07.2006;3.5826;3.7907;3.8951;3.9728;4.0388;4.0984;4.1568;4.2127;4.2662;4.3133;4.3592;4.4009
20.07.2006;3.5717;3.7654;3.8647;3.9351;3.9946;4.0499;4.105;4.1587;4.2086;4.2547;4.2993;4.3411
27.07.2006;3.5704;3.7369;3.8285;3.8981;3.9572;4.0133;4.0681;4.1204;4.1726;4.2222;4.269;4.3117
03.08.2006;3.6295;3.7959;3.8828;3.9503;4.0078;4.0599;4.1095;4.1575;4.2053;4.2491;4.2939;4.3345
10.08.2006;3.6393;3.7794;3.8478;3.9027;3.9561;4.0063;4.0548;4.1041;4.1531;4.2006;4.2453;4.2859
17.08.2006;3.6979;3.8333;3.8789;3.9192;3.9599;4.0441;4.0447;4.0886;4.1331;4.1748;4.2161;4.2557
24.08.2006;3.6487;3.7334;3.7689;3.803;3.8406;3.8823;3.9267;3.9728;4.0195;4.0647;4.1058;4.1439
31.08.2006;3.6656;3.728;3.7501;3.7781;3.8115;3.8534;3.8944;3.9383;3.984;4.028;4.0679;4.1086
07.09.2006;3.754;3.817;3.8308;3.8472;3.8744;3.9076;3.9445;3.984;4.0253;4.066;4.105;4.1421
14.09.2006;3.796;3.866;3.8674;3.8722;3.8877;3.9102;3.9384;3.969;4.0048;4.0411;4.0767;4.1103
21.09.2006;3.792;3.8234;3.8207;3.8247;3.8349;3.8553;3.8835;3.9154;3.9488;3.9814;4.0146;4.0458
28.09.2006;3.764;3.7761;3.7767;3.787;3.8036;3.8261;3.8497;3.878;3.9102;3.9429;3.9761;4.0072
05.10.2006;3.784;3.793;3.7895;3.7967;3.8144;3.8381;3.8684;3.9024;3.9369;3.9706;4.0025;4.0323
12.10.2006;3.843;3.8733;3.88;3.8966;3.9153;3.9377;3.9647;3.9942;4.0264;4.0579;4.0875;4.115
19.10.2006;3.841;3.8835;3.9016;3.9213;3.9431;3.9676;3.9967;4.0296;4.0629;4.0955;4.1262;4.1537
26.10.2006;3.912;3.9503;3.9571;3.9684;3.9828;4.0005;4.0218;4.0455;4.0732;4.1013;4.1297;4.1549
02.11.2006;3.885;3.8653;3.8517;3.8527;3.8599;3.8727;3.8922;3.914;3.9395;3.9653;3.9903;4.0131
09.11.2006;3.945;3.9344;3.9145;3.9071;3.9057;3.9078;3.9162;3.9315;3.9492;3.9682;3.9899;4.0106
16.11.2006;3.933;3.9326;3.9157;3.9115;3.9122;3.9141;3.9237;3.9366;3.9554;3.9757;3.9974;4.0193
23.11.2006;3.92;3.9156;3.9018;3.8975;3.8982;3.9002;3.9097;3.9238;3.9414;3.9604;3.9833;4.0052
30.11.2006;3.891;3.854;3.8332;3.8291;3.8309;3.8385;3.8525;3.8733;3.8942;3.9166;3.9405;3.9635
07.12.2006;3.911;3.8984;3.8909;3.8866;3.8852;3.886;3.8933;3.9074;3.9251;3.9441;3.9671;3.9902
14.12.2006;3.979;3.9948;3.9872;3.9796;3.9738;3.9725;3.9765;3.9873;4.0028;4.0196;4.0378;4.0562
21.12.2006;4.037;4.0619;4.0584;4.054;4.0535;4.0565;4.0694;4.0846;4.1034;4.1237;4.1442;4.1637
28.12.2006;4.075;4.1223;4.1228;4.1225;4.1241;4.1303;4.1431;4.1606;4.1806;4.2008;4.2213;4.2421
